"@timestamp","user.name","source.geo.country_iso_code","event.outcome"
"Feb 1, 2020 @ 18:28:33.000",root,CN,failure
"Feb 1, 2020 @ 18:28:26.000",root,CN,failure
"Feb 1, 2020 @ 18:28:23.000",root,CN,failure
"Feb 1, 2020 @ 18:28:19.000",root,CN,failure
"Feb 1, 2020 @ 18:28:16.000",root,CN,failure
"Feb 1, 2020 @ 18:28:12.000",root,CN,success
"Feb 1, 2020 @ 18:28:08.000",root,CN,failure
"Feb 1, 2020 @ 18:28:02.000",root,CN,failure
"Feb 1, 2020 @ 18:27:59.000",server,CN,failure
"Feb 1, 2020 @ 18:27:58.000",root,CN,failure
"Feb 1, 2020 @ 18:27:57.000",server,CN,failure
"Feb 1, 2020 @ 18:27:55.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:55.000",root,CN,failure
"Feb 1, 2020 @ 18:27:53.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:53.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:52.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:51.000",root,CN,failure
"Feb 1, 2020 @ 18:27:51.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:50.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:47.000",root,CN,failure
"Feb 1, 2020 @ 18:27:43.000",ubuntu,SG,failure
"Feb 1, 2020 @ 18:27:41.000",root,CN,failure
"Feb 1, 2020 @ 18:28:33.000",root,CN,failure
"Feb 1, 2020 @ 18:28:26.000",root,CN,failure
"Feb 1, 2020 @ 18:28:23.000",root,CN,failure
"Feb 1, 2020 @ 18:28:19.000",root,CN,failure
"Feb 1, 2020 @ 18:28:16.000",root,CN,failure
"Feb 1, 2020 @ 18:28:12.000",root,CN,failure
"Feb 1, 2020 @ 18:28:08.000",root,CN,failure
"Feb 1, 2020 @ 18:28:02.000",root,CN,failure
"Feb 1, 2020 @ 18:27:59.000",server,CN,failure
"Feb 1, 2020 @ 18:27:58.000",root,CN,failure
"Feb 1, 2020 @ 18:27:57.000",server,CN,failure
"Feb 1, 2020 @ 18:27:55.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:55.000",root,CN,failure
"Feb 1, 2020 @ 18:27:53.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:53.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:52.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:51.000",root,CN,failure
"Feb 1, 2020 @ 18:27:51.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:50.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:47.000",root,CN,failure
"Feb 1, 2020 @ 18:27:43.000",ubuntu,SG,failure
"Feb 1, 2020 @ 18:27:41.000",root,CN,failure
"Feb 1, 2020 @ 18:28:33.000",root,CN,failure
"Feb 1, 2020 @ 18:28:26.000",root,CN,failure
"Feb 1, 2020 @ 18:28:23.000",root,CN,failure
"Feb 1, 2020 @ 18:28:19.000",root,CN,failure
"Feb 1, 2020 @ 18:28:16.000",root,CN,failure
"Feb 1, 2020 @ 18:28:12.000",root,CN,failure
"Feb 1, 2020 @ 18:28:08.000",root,CN,failure
"Feb 1, 2020 @ 18:28:02.000",root,CN,failure
"Feb 1, 2020 @ 18:27:59.000",server,CN,failure
"Feb 1, 2020 @ 18:27:58.000",root,CN,failure
"Feb 1, 2020 @ 18:27:57.000",server,CN,failure
"Feb 1, 2020 @ 18:27:55.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:55.000",root,CN,failure
"Feb 1, 2020 @ 18:27:53.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:53.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:52.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:51.000",root,CN,failure
"Feb 1, 2020 @ 18:27:51.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:50.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:47.000",root,CN,failure
"Feb 1, 2020 @ 18:27:43.000",ubuntu,SG,failure
"Feb 1, 2020 @ 18:27:41.000",root,CN,failure
"Feb 1, 2020 @ 18:28:33.000",root,CN,failure
"Feb 1, 2020 @ 18:28:26.000",root,CN,failure
"Feb 1, 2020 @ 18:28:23.000",root,CN,failure
"Feb 1, 2020 @ 18:28:19.000",root,CN,failure
"Feb 1, 2020 @ 18:28:16.000",root,CN,failure
"Feb 1, 2020 @ 18:28:12.000",root,CN,failure
"Feb 1, 2020 @ 18:28:08.000",root,CN,failure
"Feb 1, 2020 @ 18:28:02.000",root,CN,failure
"Feb 1, 2020 @ 18:27:59.000",server,CN,failure
"Feb 1, 2020 @ 18:27:58.000",root,CN,failure
"Feb 1, 2020 @ 18:27:57.000",server,CN,failure
"Feb 1, 2020 @ 18:27:55.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:55.000",root,CN,failure
"Feb 1, 2020 @ 18:27:53.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:53.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:52.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:51.000",root,CN,failure
"Feb 1, 2020 @ 18:27:51.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:50.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:47.000",root,CN,failure
"Feb 1, 2020 @ 18:27:43.000",ubuntu,SG,failure
"Feb 1, 2020 @ 18:27:41.000",root,CN,failure
"Feb 1, 2020 @ 18:28:33.000",root,CN,failure
"Feb 1, 2020 @ 18:28:26.000",root,CN,failure
"Feb 1, 2020 @ 18:28:23.000",root,CN,failure
"Feb 1, 2020 @ 18:28:19.000",root,CN,failure
"Feb 1, 2020 @ 18:28:16.000",root,CN,failure
"Feb 1, 2020 @ 18:28:12.000",root,CN,failure
"Feb 1, 2020 @ 18:28:08.000",root,CN,failure
"Feb 1, 2020 @ 18:28:02.000",root,CN,failure
"Feb 1, 2020 @ 18:27:59.000",server,CN,failure
"Feb 1, 2020 @ 18:27:58.000",root,CN,failure
"Feb 1, 2020 @ 18:27:57.000",server,CN,failure
"Feb 1, 2020 @ 18:27:55.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:55.000",root,CN,failure
"Feb 1, 2020 @ 18:27:53.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:53.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:52.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:51.000",root,CN,failure
"Feb 1, 2020 @ 18:27:51.000",joni,CN,success
"Feb 1, 2020 @ 18:27:51.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:50.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:47.000",root,CN,failure
"Feb 1, 2020 @ 18:27:43.000",ubuntu,SG,failure
"Feb 1, 2020 @ 18:27:41.000",root,CN,failure 
